,SID,COHORT_YEAR,COHORT_TERM,STUDENT_TYPE,GRADUATION_YEAR,GRADUATION_TERM,GRADUATION_TERM_INDEX,COHORT
1779,2X1XFBMV2,2014,Fall,FYS,2019,Fall,10,Fall 2014
1780,2X1XFBMV2,2014,Fall,FYS,2019,Fall,10,Fall 2014
