,SID,STUDENT_TYPE,ENROLLMENT_YEAR,ENROLLMENT_TERM,ENROLLMENT_TERM_CODE,COHORT,TERM_INDEX
0,000O3VNKL,FYS,2022,Fall,20222,Fall 2022,0
1,000O3VNKL,CONT,2023,Spring,20231,Fall 2022,1
2,0035A558W,FYS,2022,Fall,20222,Fall 2022,0
3,0035A558W,CONT,2023,Spring,20231,Fall 2022,1
4,00395IOV9,FYS,2022,Spring,20221,Spring 2022,0
